Srno,RecipeName,TranslatedRecipeName,Ingredients,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,Instructions,TranslatedInstructions,URL,Serial Number
53,Creamy Spinach Basil Pasta Recipe,Creamy Spinach Basil Pasta Recipe,"2 cups Spinach Leaves (Palak) - washed & finely chopped,1/2 cup Basil leaves,1 Onion - finely chopped,3 cloves Garlic - finely chopped,2 cups Pasta  Fusilli - of your choice,Extra Virgin Olive Oil - as required,Red Chilli flakes - as required,1/4 cup Fresh cream,1/4 cup Cheddar cheese - grated,Salt - as required","2 cups Spinach Leaves (Palak) - washed & finely chopped,1/2 cup Basil leaves,1 Onion - finely chopped,3 cloves Garlic - finely chopped,2 cups Pasta  Fusilli - of your choice,Extra Virgin Olive Oil - as required,Red Chilli flakes - as required,1/4 cup Fresh cream,1/4 cup Cheddar cheese - grated,Salt - as required",10,25,35,4,Italian Recipes,Lunch,Vegetarian,"To begin making the Spinach and Basil Pasta Recipe by boiling the pasta. In a large pot, add water and bring it to a boil. Once the water has boiled, add a teaspoon of salt and a teaspoon of oil.Add the pasta to the boiling water and let it sit in the boiling water until it is cooked. This process should take a good 12-15 minutes.Once the pasta has cooked, drain the water and run the cooked pasta under running water to stop the cooking process.Drizzle some oil on top of pasta and make sure to coat all of the pasta with the oil so that the pasta doesn't stick to each other.*To make the sauce:Heat a sauce pan with some oil, saute the chopped garlic, onion and allow it to soften.Add the spinach, basil and saute until the leaves cook. Turn off the heat and once it cools, puree it along with cream and water.*To make the pasta:Into a saucepan, add the cooked pasta, the spinach basil pasta sauce, salt and red chilli flakes to taste.Give all the ingredients a good mix and turn off the flame. Spinach Basil Pasta is ready to be served.Make this healthy Creamy Spinach Basil Pasta with Garlic Bread and a glass of wine and you are sorted.
","To begin making the Spinach and Basil Pasta Recipe by boiling the pasta. In a large pot, add water and bring it to a boil. Once the water has boiled, add a teaspoon of salt and a teaspoon of oil.Add the pasta to the boiling water and let it sit in the boiling water until it is cooked. This process should take a good 12-15 minutes.Once the pasta has cooked, drain the water and run the cooked pasta under running water to stop the cooking process.Drizzle some oil on top of pasta and make sure to coat all of the pasta with the oil so that the pasta doesn't stick to each other.*To make the sauce:Heat a sauce pan with some oil, saute the chopped garlic, onion and allow it to soften.Add the spinach, basil and saute until the leaves cook. Turn off the heat and once it cools, puree it along with cream and water.*To make the pasta:Into a saucepan, add the cooked pasta, the spinach basil pasta sauce, salt and red chilli flakes to taste.Give all the ingredients a good mix and turn off the flame. Spinach Basil Pasta is ready to be served.Make this healthy Creamy Spinach Basil Pasta with Garlic Bread and a glass of wine and you are sorted.",http://www.archanaskitchen.com/fusilli-in-spinach-basil-sauce-recipe,53
54,Sindhi Karela Bhaji Recipe - Sindhi Style Bitter Gourd Sabzi,Sindhi Karela Bhaji Recipe - Sindhi Style Bitter Gourd Sabzi,"2 Karela (Bitter Gourd/ Pavakkai) - cut into roundels,2 Onions - thinly sliced,2 Tomatoes - finely chopped,1/4 cup Curd (Dahi / Yogurt),2 Green Chillies - finely chopped,1 inch Ginger - finely chopped,5 cloves Garlic - finely chopped,1 teaspoon Cumin seeds (Jeera),1 teaspoon Kashmiri Red Chilli Powder,2 teaspoons Coriander Powder (Dhania),1/2 teaspoon Cardamom Powder (Elaichi),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Anardana Powder (Pomegranate Seed Powder),Coriander (Dhania) Leaves - finely chopped,1 tablespoon Sunflower Oil,Salt - to taste","2 Karela (Bitter Gourd/ Pavakkai) - cut into roundels,2 Onions - thinly sliced,2 Tomatoes - finely chopped,1/4 cup Curd (Dahi / Yogurt),2 Green Chillies - finely chopped,1 inch Ginger - finely chopped,5 cloves Garlic - finely chopped,1 teaspoon Cumin seeds (Jeera),1 teaspoon Kashmiri Red Chilli Powder,2 teaspoons Coriander Powder (Dhania),1/2 teaspoon Cardamom Powder (Elaichi),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Anardana Powder (Pomegranate Seed Powder),Coriander (Dhania) Leaves - finely chopped,1 tablespoon Sunflower Oil,Salt - to taste",10,30,40,4,Sindhi,Lunch,Diabetic Friendly,"To begin making the Sindhi Karela Bhaji Recipe, in a pressure cooker, add the karela along with 2 tablespoons water and salt. Pressure cook for two whistles and turn off the heat.Release the pressure immediately by running cold water over the pressure cooker. Releasing the pressure immediately prevent the karela from getting over cooked. Keep aside.Heat oil in a kadai on medium flame, add the cumin seeds and allow it to sizzle. Once the seeds have sizzled add the ginger and garlic, green chillies and saute for about 30 seconds. Now add onions and saute until it softens and turns golden brown. Once the onions have turned slightly brown; add the chopped tomatoes, mix well and cook until the tomatoes are mushy.Once the tomatoes are cooked, add the turmeric powder, kashmiri red chilli powder, coriander powder, cardamom powder, anardana, salt and mix well to combine. Cook for about 2 to 3 minutes until the masala comes together for the Karela bhaji.After the masala is cooked through add the yogurt and cook for a few minutes.Finally add the pre cooked Karela into the pan. Sprinkle some water and cover and let the Sindhi Karela Bhaji simmer for 5 minutes. Once done, check the salt and spices and adjust accordingly. Turn off the heat and stir in the coriander leaves. Transfer Karela Bhaji into a serving bowl and serve.  Serve the Sindhi Karela Jo Bhaji Recipe along with Sindhi Tidali Dal Recipe and Jowar Jo Dodo Recipe - Sindhi Sorghum Roti for a simple Sindhi meal. 
","To begin making the Sindhi Karela Bhaji Recipe, in a pressure cooker, add the karela along with 2 tablespoons water and salt. Pressure cook for two whistles and turn off the heat.Release the pressure immediately by running cold water over the pressure cooker. Releasing the pressure immediately prevent the karela from getting over cooked. Keep aside.Heat oil in a kadai on medium flame, add the cumin seeds and allow it to sizzle. Once the seeds have sizzled add the ginger and garlic, green chillies and saute for about 30 seconds. Now add onions and saute until it softens and turns golden brown. Once the onions have turned slightly brown; add the chopped tomatoes, mix well and cook until the tomatoes are mushy.Once the tomatoes are cooked, add the turmeric powder, kashmiri red chilli powder, coriander powder, cardamom powder, anardana, salt and mix well to combine. Cook for about 2 to 3 minutes until the masala comes together for the Karela bhaji.After the masala is cooked through add the yogurt and cook for a few minutes.Finally add the pre cooked Karela into the pan. Sprinkle some water and cover and let the Sindhi Karela Bhaji simmer for 5 minutes. Once done, check the salt and spices and adjust accordingly. Turn off the heat and stir in the coriander leaves. Transfer Karela Bhaji into a serving bowl and serve.  Serve the Sindhi Karela Jo Bhaji Recipe along with Sindhi Tidali Dal Recipe and Jowar Jo Dodo Recipe - Sindhi Sorghum Roti for a simple Sindhi meal. ",http://www.archanaskitchen.com/sindhi-karelo-jo-bhaji-recipe-sindhi-style-bitter-gourd-sabzi,54
55,Pitor Ki Sabzi Recipe,Peter's Vegetable Recipe,"1-1/2 cup Gram flour (besan),1/2 cup Curd (Dahi / Yogurt) - whisked well,2-1/2 cups Water,3/4 teaspoon Green Chilli - crushed,1 teaspoon Ginger - grated,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 tablespoon Sunflower Oil,1 teaspoon Cumin seeds (Jeera),Asafoetida (hing),Sunflower Oil - for shallow frying,1 teaspoon Cumin seeds (Jeera),2-3 Dry Red Chillies,200 grams Curd (Dahi / Yogurt) - whisked very well,1/2 teaspoon Green Chillies - chopped,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste","1-1/2 cup Gram flour (besan),1/2 cup Curd (Dahi / Yogurt) - whisked well,2-1/2 cups Water,3/4 teaspoon Green Chilli - crushed,1 teaspoon Ginger - grated,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 tablespoon Sunflower Oil,1 teaspoon Cumin seeds (Jeera),Asafoetida (hing),Sunflower Oil - for shallow frying,1 teaspoon Cumin seeds (Jeera),2-3 Dry Red Chillies,200 grams Curd (Dahi / Yogurt) - whisked very well,1/2 teaspoon Green Chillies - chopped,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste",0,90,90,4,Rajasthani,Lunch,Vegetarian,"To begin with Pitor Ki Sabzi, we will firstly make pitors. In a large mixing bowl, add besan, yogurt, water, ginger, green chilies and mix everything well to form lump free batter.Heat oil in a deep pan or kadhai, add cumin seeds and allow it to crackle. Add hing and mix.Increase the heat to high and carefully add the besan batter and whisk it continuously to avoid lump formation. Cook the batter until it gets thick and starts leaving the pan.Immediately, transfer the batter on a greased plate or thali and level it up with the help of a flat spoon.Cool the prepared pitor for 45 mins or until it is ready to be cut into pieces.Now, cut the pitor depending upon the shape and size you prefer to make.Heat little oil in a broad flat pan and shallow fry the pitors from both the sides until brown and crisp. Keep the fried pitor aside.The next step is to make the curry. In a bowl, add curd, red chili powder, haldi powder and coriander powder. Beat the mixture very well.Heat oil in a kadhai, add cumin seeds and allow it to crackle. Add broken red chilies and fry for a few seconds. Add green chilies and fry for few more seconds.Reduce the heat to low and add the curd mixture and whisk continuously until everything blends well and the spices are cooked.Add water according to the thickness of the gravy you prefer and bring it to a boil. Add salt and simmer the gravy for about 15 mins.Add fried pitors and simmer for another 3 to 4 mins. Be gentle to avoid breaking the pitors. After 3-4 minutes, switch off the heat and it is ready to be served.Serve Pitor Ki Sabzi with steamed rice or Whole Wheat Lachha Paratha and Lauki raita for a complete meal.
","To begin with Pitor Ki Sabzi, we will firstly make pitors. In a large mixing bowl, add besan, yogurt, water, ginger, green chilies and mix everything well to form lump free batter.Heat oil in a deep pan or kadhai, add cumin seeds and allow it to crackle. Add hing and mix.Increase the heat to high and carefully add the besan batter and whisk it continuously to avoid lump formation. Cook the batter until it gets thick and starts leaving the pan.Immediately, transfer the batter on a greased plate or thali and level it up with the help of a flat spoon.Cool the prepared pitor for 45 mins or until it is ready to be cut into pieces.Now, cut the pitor depending upon the shape and size you prefer to make.Heat little oil in a broad flat pan and shallow fry the pitors from both the sides until brown and crisp. Keep the fried pitor aside.The next step is to make the curry. In a bowl, add curd, red chili powder, haldi powder and coriander powder. Beat the mixture very well.Heat oil in a kadhai, add cumin seeds and allow it to crackle. Add broken red chilies and fry for a few seconds. Add green chilies and fry for few more seconds.Reduce the heat to low and add the curd mixture and whisk continuously until everything blends well and the spices are cooked.Add water according to the thickness of the gravy you prefer and bring it to a boil. Add salt and simmer the gravy for about 15 mins.Add fried pitors and simmer for another 3 to 4 mins. Be gentle to avoid breaking the pitors. After 3-4 minutes, switch off the heat and it is ready to be served.Serve Pitor Ki Sabzi with steamed rice or Whole Wheat Lachha Paratha and Lauki raita for a complete meal.
",http://www.archanaskitchen.com/pitor-ki-sabzi-recipe,55
56,Creamy Cinnamon Peach Milkshake Recipe With Chia Seeds,Creamy Cinnamon Peach Milkshake Recipe With Chia Seeds,"5 Peaches - deseeded and sliced,2 tablespoons Sugar,1 tablespoon Honey,1/4 teaspoon Cinnamon Powder (Dalchini),3/4 cup Vanilla Ice cream,3/4 cup Milk,1 tablespoon Chia Seeds","5 Peaches - deseeded and sliced,2 tablespoons Sugar,1 tablespoon Honey,1/4 teaspoon Cinnamon Powder (Dalchini),3/4 cup Vanilla Ice cream,3/4 cup Milk,1 tablespoon Chia Seeds",10,0,10,4,Continental,Snack,Vegetarian,"To begin making Creamy Cinnamon Peach Milkshake Recipe With Chia Seeds in a mixer jar combine the peaches, sugar and honey, cinnamon and grind it into smooth paste. Open the lid of the jar, add milk, icecream and blitz it once more. Ensure the milkshake is well combined Add ice cubes to the glasses and serve this Creamy Cinnamon Peach Milkshake over it. Garnish with chia seeds. Serve Creamy Cinnamon Peach Milkshake as an afterschool snack to kids. You can also serve it as part of a delicious Sunday breakfast along with Apple Cinnamon French Toast Recipe. 
","To begin making Creamy Cinnamon Peach Milkshake Recipe With Chia Seeds in a mixer jar combine the peaches, sugar and honey, cinnamon and grind it into smooth paste. Open the lid of the jar, add milk, icecream and blitz it once more. Ensure the milkshake is well combined Add ice cubes to the glasses and serve this Creamy Cinnamon Peach Milkshake over it. Garnish with chia seeds. Serve Creamy Cinnamon Peach Milkshake as an afterschool snack to kids. You can also serve it as part of a delicious Sunday breakfast along with Apple Cinnamon French Toast Recipe. 
",http://www.archanaskitchen.com/creamy-cinnamon-peach-milkshake-recipe-with-chia-seeds,56
57,Lauki Yakhni Recipe - Bottle Gourd In Yogurt Gravy,Lauki Yakhni Recipe - Bottle Gourd In Yogurt Gravy,"1 Bottle gourd (lauki),1 inch Cinnamon Stick (Dalchini),2-3 Cardamom (Elaichi) Pods/Seeds,3-4 Cloves (Laung),1/2 teaspoon Ajwain (Carom seeds),1/2 teaspoon Dry ginger powder,1 teaspoon Fennel Powder,1/4 teaspoon Asafoetida (hing),1 cup Curd (Dahi / Yogurt),1 1/2 tablespoon Mustard oil,Salt - as required","1 Bottle gourd (lauki),1 inch Cinnamon Stick (Dalchini),2-3 Cardamom (Elaichi) Pods/Seeds,3-4 Cloves (Laung),1/2 teaspoon Ajwain (Carom seeds),1/2 teaspoon Dry ginger powder,1 teaspoon Fennel Powder,1/4 teaspoon Asafoetida (hing),1 cup Curd (Dahi / Yogurt),1 1/2 tablespoon Mustard oil,Salt - as required",15,35,50,4,Awadhi,Lunch,Vegetarian,"To begin with the Lauki Yakhini Recipe, let's first cut lauki (bottle gourd) into small cubes.Heat half a tablespoon oil in a tawa. place the lauki in the tawa and let them fry until they are tender and brown. Once done keep them aside. Add some more oil in the same pan and add cloves, cinnamon stick, carom seeds and saute until nice aroma comes out of it.Now bring down the flame and add water, bring the water to boiling point. As the water boils add the lauki pieces, dry ginger powder, fennel powder, asafoetida and combine them well.Now take the yogurt in a bowl and whisk them and add to the Lauki (bottle gourd)Cook in medium flame until the curry becomes thick saucy consistency. Add required amount of salt and simmer the curry for a minute.Taste the gravy and if you feel it needs some more salt add them. Switch off the flame and garnish with coriander leaves.Serve Lauki Yakhni Recipe along with Aamras and Tawa Paratha for an everyday meal. You can also pack this for your Lunch Box.
","To begin with the Lauki Yakhini Recipe, let's first cut lauki (bottle gourd) into small cubes.Heat half a tablespoon oil in a tawa. place the lauki in the tawa and let them fry until they are tender and brown. Once done keep them aside. Add some more oil in the same pan and add cloves, cinnamon stick, carom seeds and saute until nice aroma comes out of it.Now bring down the flame and add water, bring the water to boiling point. As the water boils add the lauki pieces, dry ginger powder, fennel powder, asafoetida and combine them well.Now take the yogurt in a bowl and whisk them and add to the Lauki (bottle gourd)Cook in medium flame until the curry becomes thick saucy consistency. Add required amount of salt and simmer the curry for a minute.Taste the gravy and if you feel it needs some more salt add them. Switch off the flame and garnish with coriander leaves.Serve Lauki Yakhni Recipe along with Aamras and Tawa Paratha for an everyday meal. You can also pack this for your Lunch Box.
",http://www.archanaskitchen.com/lauki-yakhini-recipe-bottle-gourd-in-yogurt-gravy,57
58,Patta Gobi Sabzi Recipe - Cabbage Tomato Sabzi,Patta Gobi Sabzi Recipe - Cabbage Tomato Sabzi,"300 grams Cabbage (Patta Gobi/ Muttaikose) - thinly sliced or diced,1/4 teaspoon Mustard seeds,1/4 teaspoon Cumin seeds (Jeera),2 Green Chillies - slit,2 Tomatoes - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder - to taste,Salt - to taste,1/2 teaspoon Sunflower Oil,4 sprig Coriander (Dhania) Leaves - chopped for garnishing","300 grams Cabbage (Patta Gobi/ Muttaikose) - thinly sliced or diced,1/4 teaspoon Mustard seeds,1/4 teaspoon Cumin seeds (Jeera),2 Green Chillies - slit,2 Tomatoes - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder - to taste,Salt - to taste,1/2 teaspoon Sunflower Oil,4 sprig Coriander (Dhania) Leaves - chopped for garnishing",10,15,25,4,North Indian Recipes,Lunch,Vegetarian,"To begin making the Patta Gobi Sabzi Recipe prepare all the ingredients and keep them ready.Heat oil in the pressure cooker; add in the mustard seeds and cumin seeds and allow them to crackle. Once they crackle, add in green chillies, the tomatoes and saute the tomato until slightly softened.Once the tomatoes are slightly softened, add in the turmeric powder, salt, coriander powder, red chilli powder and give it a stir. Stir in the cabbage and add a tablespoon of water into the cooker.Cover the pressure cooker cook for 3 to 4 whistles and turn off the heat.Release the pressure immediately by running it under cold water or releasing it with a fork placed under the whistle. Once the pressure is released, stir in the chopped coriander leaves, check the salt, the spice levels and the Patta Gobi Sabzi is ready to be served.If you are using a saucepan method to cook, then keep the pan covered and cook until the Patta Gobi Sabzi is soft and you have the texture that you desire.Serve the Patta Gobi Sabzi along with Thepla and Gujarati Dal to make a wholesome meal.
","To begin making the Patta Gobi Sabzi Recipe prepare all the ingredients and keep them ready.Heat oil in the pressure cooker; add in the mustard seeds and cumin seeds and allow them to crackle. Once they crackle, add in green chillies, the tomatoes and saute the tomato until slightly softened.Once the tomatoes are slightly softened, add in the turmeric powder, salt, coriander powder, red chilli powder and give it a stir. Stir in the cabbage and add a tablespoon of water into the cooker.Cover the pressure cooker cook for 3 to 4 whistles and turn off the heat.Release the pressure immediately by running it under cold water or releasing it with a fork placed under the whistle. Once the pressure is released, stir in the chopped coriander leaves, check the salt, the spice levels and the Patta Gobi Sabzi is ready to be served.If you are using a saucepan method to cook, then keep the pan covered and cook until the Patta Gobi Sabzi is soft and you have the texture that you desire.Serve the Patta Gobi Sabzi along with Thepla and Gujarati Dal to make a wholesome meal.
",http://www.archanaskitchen.com/patta-gobhi-ki-sabji-recipe-cabbage-tomato-sabzi,58
59,Blueberry Chia Banana Smoothie Recipe,Blueberry Chia Banana Smoothie Recipe,"1 cup Blueberries - fresh or frozen,1 Ripe Bananas,1 teaspoon Chia Seeds,1/4 cup Badam (Almond),1 teaspoon Honey,1 cup Tender coconut water,1 cup Ice cubes","1 cup Blueberries - fresh or frozen,1 Ripe Bananas,1 teaspoon Chia Seeds,1/4 cup Badam (Almond),1 teaspoon Honey,1 cup Tender coconut water,1 cup Ice cubes",10,5,15,2,Continental,World Breakfast,Vegetarian,"To begin making the Blueberry Chia Banana Smoothie first, in a blender add blueberry, banana, chia seeds and almonds, blend them to a paste.Now add honey, coconut water, and ice cubes and give one more blend.Your Blueberry Chia Banana Smoothie is ready to be served.Pour the smoothie into a glass and add a scoop of Vanilla ice cream if you want.Serve Blueberry Chia Banana Smoothie during breakfast along with Scrambled Egg Sandwich With Cucumber.
","To begin making the Blueberry Chia Banana Smoothie first, in a blender add blueberry, banana, chia seeds and almonds, blend them to a paste.Now add honey, coconut water, and ice cubes and give one more blend.Your Blueberry Chia Banana Smoothie is ready to be served.Pour the smoothie into a glass and add a scoop of Vanilla ice cream if you want.Serve Blueberry Chia Banana Smoothie during breakfast along with Scrambled Egg Sandwich With Cucumber.
",http://www.archanaskitchen.com/blueberry-chia-banana-smoothie-recipe,59
60,Uttarkhand Style Mixed Bhaddu Dal Recipe,Uttarkhand Style Mixed Bhaddu Dal Recipe,"1/4 cup Rajma (Large Kidney Beans),1/4 cup White Urad Dal (Split),3 teaspoon Sunflower Oil,1 teaspoon Ginger Garlic Paste,2 Cardamom (Elaichi) Pods/Seeds,1 Bay leaf (tej patta),1/4 teaspoon Whole Black Peppercorns,2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1/4 teaspoon Coriander (Dhania) Seeds,1/2 cup Homemade tomato puree,1/4 teaspoon Cumin seeds (Jeera),2 teaspoon Fresh cream,Salt - to taste","1/4 cup Rajma (Large Kidney Beans),1/4 cup White Urad Dal (Split),3 teaspoon Sunflower Oil,1 teaspoon Ginger Garlic Paste,2 Cardamom (Elaichi) Pods/Seeds,1 Bay leaf (tej patta),1/4 teaspoon Whole Black Peppercorns,2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1/4 teaspoon Coriander (Dhania) Seeds,1/2 cup Homemade tomato puree,1/4 teaspoon Cumin seeds (Jeera),2 teaspoon Fresh cream,Salt - to taste",315,25,340,4,North Indian Recipes,Lunch,High Protein Vegetarian,"To begin making the Uttarkhand Style Mixed Bhaddu Dal recipe, firstly soak the urad dal and rajma seperately overnight or for minimum 5 hours.Heat a pressure cooker with water, cinnamon stick, cardamom and lentils, cover it and let it cook till the cooker releases 4 whistles. Take a medium wok, heat 2 teaspoons of oil, add bay leaf, cloves, whole black pepper, turmeric powder and red chilli powder. Let it cook for about a minute. Pour tomato puree and let it cook for another 3 minutes. After 3 minutes, add in the ginger garlic paste. Let it cook till the raw smell vanishes.Next, add the boiled dal to wok and simmer for 8 minutes then add the cream.Meanwhile heat a spoonful of oil in a tadka pan, add coriander seeds, cumin seeds and let it cook for about 15 seconds. Pour it over the dal, mix and serve hot.Serve Uttarkhand Style Mixed Bhaddu Dal along with Bharwa Bhindi and Tawa Paratha for your weekly meal plan.
","To begin making the Uttarkhand Style Mixed Bhaddu Dal recipe, firstly soak the urad dal and rajma seperately overnight or for minimum 5 hours.Heat a pressure cooker with water, cinnamon stick, cardamom and lentils, cover it and let it cook till the cooker releases 4 whistles. Take a medium wok, heat 2 teaspoons of oil, add bay leaf, cloves, whole black pepper, turmeric powder and red chilli powder. Let it cook for about a minute. Pour tomato puree and let it cook for another 3 minutes. After 3 minutes, add in the ginger garlic paste. Let it cook till the raw smell vanishes.Next, add the boiled dal to wok and simmer for 8 minutes then add the cream.Meanwhile heat a spoonful of oil in a tadka pan, add coriander seeds, cumin seeds and let it cook for about 15 seconds. Pour it over the dal, mix and serve hot.Serve Uttarkhand Style Mixed Bhaddu Dal along with Bharwa Bhindi and Tawa Paratha for your weekly meal plan.",http://www.archanaskitchen.com/uttarkhand-style-mixed-bhaddu-dal-recipe,60
61,Whole Wheat Flour Chakli Recipe,Whole Wheat Flour Chakli Recipe,"1 cup Whole Wheat Flour,1 teaspoon Red Chilli powder,1/2 teaspoon Cumin seeds (Jeera),2 teaspoon Butter,Sunflower Oil - for deep frying,1/2 teaspoon Asafoetida (hing),Salt - to taste","1 cup Whole Wheat Flour,1 teaspoon Red Chilli powder,1/2 teaspoon Cumin seeds (Jeera),2 teaspoon Butter,Sunflower Oil - for deep frying,1/2 teaspoon Asafoetida (hing),Salt - to taste",30,40,70,4,South Indian Recipes,Snack,Vegetarian,"To begin with Whole Wheat Flour Chakli, put the wheat flour in a muslin cloth, tie it and steam it in an idli pan.After about 8-10 mins switch off the pan, open the cloth and transfer to a plate. Big cake pieces of flour will be formed, so you can break it all with your hand.Sieve the cooked flour and add red chili powder, jeera, hing powder, butter, salt and mix everything well.Once it is mixed properly, add water and make a non-sticky dough.Heat a kadai with oil on medium flame. Fill the chakli presser with the prepared dough and press it on paper or back of ladle.Fry them in hot oil in a deep fry pan until it changes its colour. Repeat the same process for the reaming chaklis.Cool and store it in an air-tight container.Serve Whole Wheat Flour Chakli with Masala Chai or a hot cup of coffee.
","To begin with Whole Wheat Flour Chakli, put the wheat flour in a muslin cloth, tie it and steam it in an idli pan.After about 8-10 mins switch off the pan, open the cloth and transfer to a plate. Big cake pieces of flour will be formed, so you can break it all with your hand.Sieve the cooked flour and add red chili powder, jeera, hing powder, butter, salt and mix everything well.Once it is mixed properly, add water and make a non-sticky dough.Heat a kadai with oil on medium flame. Fill the chakli presser with the prepared dough and press it on paper or back of ladle.Fry them in hot oil in a deep fry pan until it changes its colour. Repeat the same process for the reaming chaklis.Cool and store it in an air-tight container.Serve Whole Wheat Flour Chakli with Masala Chai or a hot cup of coffee.",https://www.archanaskitchen.com/whole-wheat-flour-chakli-recipe,61
62,Nawabi Mixed Vegetable Gravy Recipe,Nawabi Mixed Vegetable Gravy Recipe,"1/2 cup Cauliflower (gobi),1/4 cup Green beans (French Beans) - cut in one inch pieces,1/4 cup Carrots (Gajjar) - cubed,1/4 cup Green peas (Matar),1 Bay leaf (tej patta),2 to 3 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1 Onion - sliced,1 Tomato - roughly chopped,1 Green Chilli - slit,2 teaspoons Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1 teaspoon Garam masala powder,Coriander (Dhania) Leaves - finely chopped for garnish,2 tablespoons Ghee,8 to 10 Cashew nuts - blanched,1 Onion - blanched,1 Tomato,2 to 3 Garlic,2 inch Ginger,1/2 teaspoon Cumin seeds (Jeera)","1/2 cup Cauliflower (gobi),1/4 cup Green beans (French Beans) - cut in one inch pieces,1/4 cup Carrots (Gajjar) - cubed,1/4 cup Green peas (Matar),1 Bay leaf (tej patta),2 to 3 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1 Onion - sliced,1 Tomato - roughly chopped,1 Green Chilli - slit,2 teaspoons Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1 teaspoon Garam masala powder,Coriander (Dhania) Leaves - finely chopped for garnish,2 tablespoons Ghee,8 to 10 Cashew nuts - blanched,1 Onion - blanched,1 Tomato,2 to 3 Garlic,2 inch Ginger,1/2 teaspoon Cumin seeds (Jeera)",30,30,60,4,North Indian Recipes,Lunch,Vegetarian,"To begin making the Nawabi Mixed Vegetable Gravy, blanch the cashew nuts and onion in hot water for 2 minutes and drain it.Grind the blanched cashew nuts and onion along with chopped tomatoes, ginger, garlic and cumin seeds to a smooth paste using very little water in a mixer grinder and keep aside.Heat ghee in a wok/kadhai, add the whole spices including bay leaf, cloves and the cinnamon stick and let its flavour release into the ghee.Add the sliced onion and sauté till it becomes golden brown.Add the chopped tomato and slit green chilli and stir for a few minutes.Now add the cut vegetables and mix well. Add the dry spice powders including coriander, chilli and garam masala powders and mix well.Season with a little salt, add 1/2 cup of water and let the vegetables cook with the lid closed.Once the vegetables are firmly cooked add the ground spice paste into the pan and stir well.Check for the salt seasoning and simmer for 10 minutes until the vegetables incorporates well along into the gravy.Switch off the flame and garnish with finely chopped coriander leaves. Serve Nawabi Mixed Vegetable Gravy at one of your house parties lunch menu along with rotis, Pudina tawa paratha or jeera rice.
","To begin making the Nawabi Mixed Vegetable Gravy, blanch the cashew nuts and onion in hot water for 2 minutes and drain it.Grind the blanched cashew nuts and onion along with chopped tomatoes, ginger, garlic and cumin seeds to a smooth paste using very little water in a mixer grinder and keep aside.Heat ghee in a wok/kadhai, add the whole spices including bay leaf, cloves and the cinnamon stick and let its flavour release into the ghee.Add the sliced onion and sauté till it becomes golden brown.Add the chopped tomato and slit green chilli and stir for a few minutes.Now add the cut vegetables and mix well. Add the dry spice powders including coriander, chilli and garam masala powders and mix well.Season with a little salt, add 1/2 cup of water and let the vegetables cook with the lid closed.Once the vegetables are firmly cooked add the ground spice paste into the pan and stir well.Check for the salt seasoning and simmer for 10 minutes until the vegetables incorporates well along into the gravy.Switch off the flame and garnish with finely chopped coriander leaves. Serve Nawabi Mixed Vegetable Gravy at one of your house parties lunch menu along with rotis, Pudina tawa paratha or jeera rice.",http://www.archanaskitchen.com/nawabi-mixed-vegetable-gravy-recipe,62
